نام شرکت تولید کننده,نام شرکت تامین کننده,نام صاحب برند,توزیع کننده,کشور تولید  کننده,نام برند,نام لاتین برند,نام ژنریک,نام ماده موثره, تعداد فروش (بسته) , تعداد در بسته , فروش عددی , فروش ریالی مصرف کننده ,کد ژنریک,OTC,بیولوژیک,ATC Code,,
Pars Darou,پارس دارو,پارس دارو,پخش سراسری تجهیزگران طب نوین,ایران,پریگرا   قرص برای تهیه سوسپانسیون خوراکی 50 mg,"PRIGRA   TABLET, FOR SUSPENSION ORAL 50 mg","SILDENAFIL (AS CITRATE) TABLET, FOR SUSPENSION ORAL 50 mg",SILDENAFIL (AS CITRATE)," 10,356 ", 8 ," 82,848 "," 1,460,800,000 ",52512,0,0,J05AB14,,
Toliddaru Pharma. Co.,داروسازی تولید دارو,داروسازی تولید دارو,پخش سراسری تجهیزگران طب نوین,ایران,گسترال   سوسپانسیون خوراکی 225 mg/200 mg/25 mg/5mL 240 mL,GASTRAL   SUSPENSION ORAL 225 mg/200 mg/25 mg/5mL 240 mL,ALUMINIUM HYDROXIDE / MAGNESIUM HYDROXIDE / SIMETHICONE SUSPENSION ORAL 225 mg/200 mg/25 mg/5mL 240 mL,ALUMINIUM HYDROXIDE / MAGNESIUM HYDROXIDE / SIMETHICONE," 6,221 ", 1 ," 6,221 "," 1,460,300,000 ",49,1,0,J05AB14,,
Dorsa darou,تولید مواد داروئی درسا دارو,تولید مواد داروئی درسا دارو,پخش سراسری تجهیزگران طب نوین,ایران,پنتوپرازول   کپسول انتریک کوتد خوراکی 20 mg,"PANTOPRAZOLE   CAPSULE, DELAYED RELEASE ORAL 20 mg","PANTOPRAZOLE CAPSULE, DELAYED RELEASE ORAL 20 mg",PANTOPRAZOLE," 6,085 ", 28 ," 170,380 "," 1,460,188,800 ",10031,0,0,J05AB14,,
Raha Pharmaceutical Isfahan Company,داروسازی رها اصفهان,داروسازی رها اصفهان,پخش سراسری تجهیزگران طب نوین,ایران,تگاتارد   قرص پیوسته رهش خوراکی 400 mg,"TEGATARD   TABLET, EXTENDED RELEASE ORAL 400 mg","CARBAMAZEPINE TABLET, EXTENDED RELEASE ORAL 400 mg",CARBAMAZEPINE," 1,524 ", 100 ," 152,400 "," 1,459,945,000 ",1420,0,0,J05AB14,,
Toliddaru Pharma. Co.,داروسازی تولید دارو,داروسازی تولید دارو,پخش سراسری تجهیزگران طب نوین,ایران,موکولین   قرص خوراکی 8 mg,MUCOLIN   TABLET ORAL 8 mg,BROMHEXINE HYDROCHLORIDE  TABLET ORAL 8 mg,BROMHEXINE HYDROCHLORIDE," 13,456 ", 100 ," 1,345,600 "," 1,457,600,000 ",178,1,0,J05AB14,,
Caspian Tamin Co.,داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,پخش سراسری تجهیزگران طب نوین,ایران,اکسی تیپ   تزریقی پرنترال 10 U/1mL  mL,OXYTIP   INJECTION PARENTERAL 10 U/1mL  mL,OXYTOCIN INJECTION PARENTERAL 10 U/1mL,OXYTOCIN," 5,523 ", 10 ," 55,230 "," 1,455,603,000 ",939,0,0,J05AB14,,
Pharmachemie,فارماشیمی,فارماشیمی,پخش سراسری تجهیزگران طب نوین,ایران,دیکلوفناک   شیاف مقعدی 100 mg,DICLOFENAC   SUPPOSITORY RECTAL 100 mg,DICLOFENAC SODIUM SUPPOSITORY RECTAL 100 mg,DICLOFENAC SODIUM," 24,741 ", 5 ," 123,705 "," 1,450,928,500 ",427,0,0,J05AB14,,
Iran Hormone,ایران هورمون,ایران هورمون,پخش سراسری تجهیزگران طب نوین,ایران,تیرومت-آی اچ   قرص خوراکی 5 mg,THIROMET-IH   TABLET ORAL 5 mg,METHIMAZOLE TABLET ORAL 5 mg,METHIMAZOLE," 8,742 ", 100 ," 874,200 "," 1,445,440,000 ",821,0,0,J05AB14,,
Pars Darou,پارس دارو,پارس دارو,پخش سراسری تجهیزگران طب نوین,ایران,آ اس آ   قرص جویدنی خوراکی 100 mg,"ASA   TABLET, CHEWABLE ORAL 100 mg","ASA (ACETYLSALICYLIC ACID) TABLET, CHEWABLE ORAL 100 mg",ASA (ACETYLSALICYLIC ACID)," 16,148 ", 30 ," 484,440 "," 1,438,806,000 ",106,1,0,J05AB14,,
Tehran Chemie Pharmaceutical Co.,داروسازی تهران شیمی,داروسازی تهران شیمی,پخش سراسری تجهیزگران طب نوین,ایران,کلوزاپکس   قرص خوراکی 100 mg,CLOZAPEX   TABLET ORAL 100 mg,CLOZAPINE TABLET ORAL 100 mg,CLOZAPINE," 2,764 ", 100 ," 276,400 "," 1,426,880,000 ",334,0,0,J05AB14,,
Loghman Pharmaceutical & Hygienic (public),داروئی و بهداشتی لقمان (سهام عام ),داروئی و بهداشتی لقمان (سهام عام ),پخش سراسری تجهیزگران طب نوین,ایران,دیازپام   قرص خوراکی 2 mg,DIAZEPAM   TABLET ORAL 2 mg,DIAZEPAM TABLET ORAL 2 mg,DIAZEPAM," 8,782 ", 100 ," 878,200 "," 1,422,160,000 ",419,0,0,J05AB14,,
Tehran Darou Pharmaceutical Co.,داروسازی تهران دارو,داروسازی تهران دارو,پخش سراسری تجهیزگران طب نوین,ایران,فکسوتد   قرص خوراکی 60 mg,FEXOTED   TABLET ORAL 60 mg,FEXOFENADINE HYDROCHLORIDE TABLET ORAL 60 mg,FEXOFENADINE HYDROCHLORIDE," 1,745 ", 100 ," 174,500 "," 1,417,570,000 ",7251,1,0,J05AB14,,
Dorsa darou,تولید مواد داروئی درسا دارو,تولید مواد داروئی درسا دارو,پخش سراسری تجهیزگران طب نوین,ایران,لیپیکات   قرص خوراکی 40 mg,LIPI-CUT   TABLET ORAL 40 mg,ATORVASTATIN (AS CALCIUM) TABLET ORAL 40 mg,ATORVASTATIN (AS CALCIUM)," 13,339 ", 30 ," 400,170 "," 1,416,861,000 ",1912,0,0,J05AB14,,
Fanavarihaye Novin Darouie Atieh,فن آوریهای نوین دارویی آتیه,فن آوریهای نوین دارویی آتیه,پخش سراسری تجهیزگران طب نوین,ایران,متروفن   قرص خوراکی 500 mg,METROFAN   TABLET ORAL 500 mg,METRONIDAZOLE TABLET ORAL 500 mg,METRONIDAZOLE," 14,594 ", 30 ," 437,820 "," 1,411,560,000 ",51656,0,0,J05AB14,,
Mahban Darou,مهبان دارو,مهبان دارو,پخش سراسری تجهیزگران طب نوین,ایران,گاباروکس   کپسول خوراکی 300 mg,GABAROX   CAPSULE ORAL 300 mg,GABAPENTIN CAPSULE ORAL 300 mg,GABAPENTIN," 1,277 ", 100 ," 127,700 "," 1,409,893,000 ",573,0,0,J05AB14,,
Tehran Darou Pharmaceutical Co.,داروسازی تهران دارو,داروسازی تهران دارو,پخش سراسری تجهیزگران طب نوین,ایران,نوپینتین   کپسول خوراکی 300 mg,NOPAINTIN   CAPSULE ORAL 300 mg,GABAPENTIN CAPSULE ORAL 300 mg,GABAPENTIN," 5,863 ", 30 ," 175,890 "," 1,403,881,800 ",573,0,0,J05AB14,,
Raha Pharmaceutical Isfahan Company,داروسازی رها اصفهان,داروسازی رها اصفهان,پخش سراسری تجهیزگران طب نوین,ایران,"لوترا   سوسپانسیون، قطره چشمی 0.5 % 5 mL","LOTERA   SUSPENSION, DROPS OPHTHALMIC 0.5 % 5 mL","LOTEPREDNOL ETABONATE SUSPENSION, DROPS OPHTHALMIC 0.5 % 5 mL",LOTEPREDNOL ETABONATE," 8,934 ", 1 ," 8,934 "," 1,402,823,200 ",6854,0,0,J05AB14,,
Caspian Tamin Co.,داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,پخش سراسری تجهیزگران طب نوین,ایران,دکسپانتنول   محلول تزریقی پرنترال 250 mg/1mL 2 mL,"DEXPANTHENOL   INJECTION, SOLUTION PARENTERAL 250 mg/1mL 2 mL","DEXPANTHENOL INJECTION, SOLUTION PARENTERAL 250 mg/1mL 2 mL",DEXPANTHENOL, 635 , 10 ," 6,350 "," 1,390,500,000 ",25187,0,0,J05AB14,,
Caspian Tamin Co.,داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,پخش سراسری تجهیزگران طب نوین,ایران,نوروتامین   تزریقی پرنترال 100 mg/100 mg/1000 ug/3mL  mL,NEUROTAMINE   INJECTION PARENTERAL 100 mg/100 mg/1000 ug/3mL  mL,VITAMIN B1 / VITAMIN B6 / VITAMIN B12 INJECTION PARENTERAL 100 mg/100 mg/1000 ug/3mL,VITAMIN B1 / VITAMIN B6 / VITAMIN B12," 11,730 ", 5 ," 58,650 "," 1,390,350,000 ",10427,0,0,J05AB14,,
Tehran Chemie Pharmaceutical Co.,داروسازی تهران شیمی,داروسازی تهران شیمی,پخش سراسری تجهیزگران طب نوین,ایران,روماتوبیک   قرص خوراکی 15 mg,ROMATOBIC   TABLET ORAL 15 mg,MELOXICAM TABLET ORAL 15 mg,MELOXICAM," 9,478 ", 30 ," 284,340 "," 1,387,606,500 ",7061,0,0,J05AB14,,
Afachemi,آفا شیمی,آفا شیمی,پخش سراسری تجهیزگران طب نوین,ایران,آفاکسیم   قرص خوراکی 400 mg,AFAXIM   TABLET ORAL 400 mg,CEFIXIME TABLET ORAL 400 mg,CEFIXIME," 5,328 ", 20 ," 106,560 "," 1,381,924,460 ",52222,0,0,J05AB14,,
Caspian Tamin Co.,داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,پخش سراسری تجهیزگران طب نوین,ایران,ویتامین ای (آلفا توکوفرول استات)   تزریقی پرنترال 100 [iU]/1mL  mL,VITAMIN E (ALPHA-TOCOPHEROL ACETATE)   INJECTION PARENTERAL 100 [iU]/1mL  mL,VITAMIN E INJECTION PARENTERAL 100 [iU]/1mL,VITAMIN E," 4,827 ", 10 ," 48,270 "," 1,378,350,000 ",1306,0,0,J05AB14,,
Donyaye Behdasht Labs.co,لابراتوارهای شهردارو,لابراتوارهای شهردارو,پخش سراسری تجهیزگران طب نوین,ایران,کلدآوت   شربت خوراکی 0.67 mg/10 mg/5mL 60 mL,COLD OUT   SYRUP ORAL 0.67 mg/10 mg/5mL 60 mL,PEDIATRIC GRIPPE SYRUP ORAL 0.67 mg/10 mg/5mL 60 mL,PEDIATRIC GRIPPE," 14,751 ", 1 ," 14,751 "," 1,373,720,000 ",956,1,0,J05AB14,,
Tehran Chemie Pharmaceutical Co.,داروسازی تهران شیمی,داروسازی تهران شیمی,پخش سراسری تجهیزگران طب نوین,ایران,بیزوفار   قرص خوراکی 2.5 mg,BISOFAR   TABLET ORAL 2.5 mg,BISOPROLOL FUMARATE TABLET ORAL 2.5 mg,BISOPROLOL FUMARATE," 19,853 ", 30 ," 595,590 "," 1,370,483,400 ",11472,0,0,J05AB14,,
Tehran Darou Pharmaceutical Co.,داروسازی تهران دارو,داروسازی تهران دارو,پخش سراسری تجهیزگران طب نوین,ایران,پنتوبست   کپسول انتریک کوتد خوراکی 40 mg,"PANTOBEST   CAPSULE, DELAYED RELEASE ORAL 40 mg","PANTOPRAZOLE CAPSULE, DELAYED RELEASE ORAL 40 mg",PANTOPRAZOLE," 4,933 ", 28 ," 138,124 "," 1,367,564,800 ",10029,0,0,J05AB14,,
Jalinous Pharmaceutical Co.,داروسازی جالینوس,داروسازی جالینوس,پخش سراسری تجهیزگران طب نوین,ایران,والسارتان   قرص خوراکی 160 mg,VALSARTAN   TABLET ORAL 160 mg,VALSARTAN TABLET ORAL 160 mg,VALSARTAN," 4,279 ", 30 ," 128,370 "," 1,350,468,000 ",5766,0,0,J05AB14,,
Ramopharmin,رامو فارمین,رامو فارمین,پخش سراسری تجهیزگران طب نوین,ایران,ستیریزین    قرص خوراکی 10 mg,CETIRIZINE   TABLET ORAL 10 mg,CETIRIZINE HYDROCHLORIDE TABLET ORAL 10 mg,CETIRIZINE HYDROCHLORIDE," 5,911 ", 100 ," 591,100 "," 1,350,016,000 ",1424,1,0,J05AB14,,
Dorsa darou,تولید مواد داروئی درسا دارو,تولید مواد داروئی درسا دارو,پخش سراسری تجهیزگران طب نوین,ایران,گلوکودر   قرص خوراکی 500 mg,GLUCODOR   TABLET ORAL 500 mg,METFORMIN HYDROCHLORIDE TABLET ORAL 500 mg,METFORMIN HYDROCHLORIDE," 6,788 ", 100 ," 678,800 "," 1,348,145,000 ",817,0,0,J05AB14,,
Iran Avandfar,ایران آوند فر,ایران آوند فر,پخش سراسری تجهیزگران طب نوین,ایران,آفیکازون   اسپری از راه بینی 50 ug/1{Puff} 120 mL,AFICASONE   SPRAY NASAL 50 ug/1{Puff} 120 mL,FLUTICASONE PROPIONATE SPRAY NASAL 50 ug/1{Puff} 120 {Puff},FLUTICASONE PROPIONATE," 4,004 ", 1 ," 4,004 "," 1,347,324,000 ",52149,0,0,J05AB14,,
Iran Avandfar,ایران آوند فر,ایران آوند فر,پخش سراسری تجهیزگران طب نوین,ایران,راینوپ   اسپری از راه بینی 0.65 % 20 mL,RHINOP   SPRAY NASAL 0.65 % 20 mL,SODIUM CHLORIDE SPRAY NASAL 0.65 % 20 mL,SODIUM CHLORIDE," 9,781 ", 1 ," 9,781 "," 1,341,380,000 ",7259,1,0,J05AB14,,
Pars Darou,پارس دارو,پارس دارو,پخش سراسری تجهیزگران طب نوین,ایران,نیستاتین   قرص واژینال 100000 [iU],NYSTATIN   TABLET VAGINAL 100000 [iU],NYSTATIN TABLET VAGINAL 100000 [iU],NYSTATIN," 13,257 ", 14 ," 185,598 "," 1,340,803,800 ",924,0,0,J05AB14,,
Daana Pharma,داروسازی دانا,داروسازی دانا,پخش سراسری تجهیزگران طب نوین,ایران,ونکوماکس   پودر برای تهیه محلول تزریقی پرنترال 500 mg  mg,"VANCOMAX   INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg  mg","VANCOMYCIN (AS HYDROCHLORIDE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg",VANCOMYCIN (AS HYDROCHLORIDE), 483 , 20 ," 9,660 "," 1,340,219,400 ",1276,0,0,J05AB14,,
Sajad Daru Shargh,سجاد داروی شرق,سجاد داروی شرق,پخش سراسری تجهیزگران طب نوین,ایران,فولیک اسید   قرص خوراکی 1 mg,FOLIC ACID   TABLET ORAL 1 mg,FOLIC ACID TABLET ORAL 1 mg,FOLIC ACID," 8,715 ", 100 ," 871,500 "," 1,339,365,000 ",562,0,0,J05AB14,,
Dorsa darou,تولید مواد داروئی درسا دارو,تولید مواد داروئی درسا دارو,پخش سراسری تجهیزگران طب نوین,ایران,لیپیکات   قرص خوراکی 20 mg,LIPI-CUT   TABLET ORAL 20 mg,ATORVASTATIN (AS CALCIUM) TABLET ORAL 20 mg,ATORVASTATIN (AS CALCIUM)," 14,738 ", 30 ," 442,140 "," 1,329,585,000 ",1911,0,0,J05AB14,,
Fanavarihaye Novin Darouie Atieh,فن آوریهای نوین دارویی آتیه,فن آوریهای نوین دارویی آتیه,پخش سراسری تجهیزگران طب نوین,ایران,دی والپروئکس   قرص انتریک کوتد خوراکی 500 mg,"DIVALPROEX   TABLET, DELAYED RELEASE ORAL 500 mg","VALPROATE SEMISODIUM TABLET, DELAYED RELEASE ORAL 500 mg",VALPROATE SEMISODIUM," 2,806 ", 50 ," 140,300 "," 1,328,830,000 ",11611,0,0,J05AB14,,
Tehran Darou Pharmaceutical Co.,داروسازی تهران دارو,داروسازی تهران دارو,پخش سراسری تجهیزگران طب نوین,ایران,ویتامین آ-تداژل   کپسول حاوی مایع خوراکی 50000 [iU],"VITAMIN A-TEDAGEL   CAPSULE, LIQUID FILLED ORAL 50000 [iU]","VITAMIN A CAPSULE, LIQUID FILLED ORAL 50000 [iU]",VITAMIN A," 4,789 ", 60 ," 287,340 "," 1,321,602,600 ",1371,0,0,J05AB14,,
Ramopharmin,رامو فارمین,رامو فارمین,پخش سراسری تجهیزگران طب نوین,ایران,دیفن هیدرامین کامپاند   شربت خوراکی 12.5 mg/125 mg/5mL 60 mL,DIPHENHYDRAMINE COMPOUND   SYRUP ORAL 12.5 mg/125 mg/5mL 60 mL,DIPHENHYDRAMINE / AMMONIUM CHLORIDE SYRUP ORAL 12.5 mg/125 mg/5mL 60 mL,DIPHENHYDRAMINE / AMMONIUM CHLORIDE," 12,559 ", 1 ," 12,559 "," 1,313,500,000 ",456,0,0,J05AB14,,
Tehran Darou Pharmaceutical Co.,داروسازی تهران دارو,داروسازی تهران دارو,پخش سراسری تجهیزگران طب نوین,ایران,گلی کلازید   قرص پیوسته رهش خوراکی 60 mg,"GLICLAZIDE   TABLET, EXTENDED RELEASE ORAL 60 mg","GLICLAZIDE TABLET, EXTENDED RELEASE ORAL 60 mg",GLICLAZIDE," 5,854 ", 30 ," 175,620 "," 1,312,587,000 ",19418,0,0,J05AB14,,
Pharmachemie,فارماشیمی,فارماشیمی,پخش سراسری تجهیزگران طب نوین,ایران,اس سیتالوپرام   قرص خوراکی 20 mg,ESCITALOPRAM   TABLET ORAL 20 mg,ESCITALOPRAM (AS OXALATE) TABLET ORAL 20 mg,ESCITALOPRAM (AS OXALATE)," 3,407 ", 30 ," 102,210 "," 1,311,822,000 ",6484,0,0,J05AB14,,
Cosar Pharmaceutical,داروسازی کوثر,داروسازی کوثر,پخش سراسری تجهیزگران طب نوین,ایران,کلاویسیلین   پودر برای تهیه سوسپانسیون   خوراکی 250 mg/62.5 mg/5mL 100 mL,"CLAVICILLIN   POWDER, FOR SUSPENSION ORAL 250 mg/62.5 mg/5mL 100 mL","CO-AMOXICLAV POWDER, FOR SUSPENSION ORAL 250 mg/62.5 mg/5mL 100 mL",CO-AMOXICLAV," 7,858 ", 1 ," 7,858 "," 1,310,572,222 ",1440,0,0,J05AB14,,
Raha Pharmaceutical Isfahan Company,داروسازی رها اصفهان,داروسازی رها اصفهان,پخش سراسری تجهیزگران طب نوین,ایران,سرتول   کرم موضعی 2 % 30 g,SERTOL   CREAM TOPICAL 2 % 30 g,SERTACONAZOLE NITRATE CREAM TOPICAL 2 % 30 g,SERTACONAZOLE NITRATE," 7,134 ", 1 ," 7,134 "," 1,305,268,000 ",2456,0,0,J05AB14,,
Pannoc,دارو درمان کیان,Pannoc,پخش سراسری تجهیزگران طب نوین,بلژیک,پنژل   ژل موضعی 10 % 30 g,PANGEL   GEL TOPICAL 10 % 30 g,BENZOYL PEROXIDE GEL TOPICAL 10 % 30 g,BENZOYL PEROXIDE," 1,048 ", 1 ," 1,048 "," 1,298,418,000 ",137,0,0,J05AB14,,
Raha Pharmaceutical Isfahan Company,داروسازی رها اصفهان,داروسازی رها اصفهان,پخش سراسری تجهیزگران طب نوین,ایران,تئوفیلین-جی    محلول خوراکی 50 mg/30 mg/5mL 120 mL,THEOPHYLLINE-G   SOLUTION ORAL 50 mg/30 mg/5mL 120 mL,THEOPHYLLINE / GUAIFENESIN SOLUTION ORAL 50 mg/30 mg/5mL 120 mL,THEOPHYLLINE / GUAIFENESIN," 11,630 ", 1 ," 11,630 "," 1,296,750,000 ",1211,0,0,J05AB14,,
Toliddaru Pharma. Co.,داروسازی تولید دارو,داروسازی تولید دارو,پخش سراسری تجهیزگران طب نوین,ایران,ایبوپروفن   سوسپانسیون خوراکی 100 mg/5mL 120 mL,IBUPROFEN   SUSPENSION ORAL 100 mg/5mL 120 mL,IBUPROFEN SUSPENSION ORAL 100 mg/5mL 120 mL,IBUPROFEN," 12,204 ", 1 ," 12,204 "," 1,293,354,000 ",657,1,0,J05AB14,,
Caspian Tamin Co.,داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,پخش سراسری تجهیزگران طب نوین,ایران,هیوسیدیک   تزریقی پرنترال 20 mg/1mL  mL,HYOSIDIC   INJECTION PARENTERAL 20 mg/1mL  mL,HYOSCINE-N-BUTYL BROMIDE INJECTION PARENTERAL 20 mg/1mL,HYOSCINE-N-BUTYL BROMIDE," 3,878 ", 10 ," 38,780 "," 1,290,960,000 ",655,0,0,J05AB14,,
Caspian Tamin Co.,داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,پخش سراسری تجهیزگران طب نوین,ایران,ویبسیکس   تزریقی پرنترال 50 mg/1mL 2 mL,VIBSIX   INJECTION PARENTERAL 50 mg/1mL 2 mL,VITAMIN B6 INJECTION PARENTERAL 50 mg/1mL 2 mL,VITAMIN B6," 6,567 ", 10 ," 65,670 "," 1,290,290,000 ",1295,0,0,J05AB14,,
Cosar Pharmaceutical,داروسازی کوثر,داروسازی کوثر,پخش سراسری تجهیزگران طب نوین,ایران,ایراموکس   پودر برای تهیه سوسپانسیون   خوراکی 250 mg/5mL 100 mL,"IRAMOX   POWDER, FOR SUSPENSION ORAL 250 mg/5mL 100 mL","AMOXICILLIN POWDER, FOR SUSPENSION ORAL 250 mg/5mL 100 mL",AMOXICILLIN," 12,950 ", 1 ," 12,950 "," 1,290,072,000 ",78,0,0,J05AB14,,
Avicenna Laboratories Inc.,داروسازی اوه سینا,داروسازی اوه سینا,پخش سراسری تجهیزگران طب نوین,ایران,والاسیکلوویر   قرص خوراکی 1000 mg,VALACYCLOVIR   TABLET ORAL 1000 mg,VALACYCLOVIR TABLET ORAL 1000 mg,VALACYCLOVIR," 1,013 ", 30 ," 30,390 "," 1,289,127,000 ",10064,0,0,J05AB14,,
Raha Pharmaceutical Isfahan Company,داروسازی رها اصفهان,داروسازی رها اصفهان,پخش سراسری تجهیزگران طب نوین,ایران,تگاتارد   قرص پیوسته رهش خوراکی 200 mg,"TEGATARD   TABLET, EXTENDED RELEASE ORAL 200 mg","CARBAMAZEPINE TABLET, EXTENDED RELEASE ORAL 200 mg",CARBAMAZEPINE," 1,660 ", 100 ," 166,000 "," 1,288,033,500 ",2114,0,0,J05AB14,,
Tehran Darou Pharmaceutical Co.,داروسازی تهران دارو,داروسازی تهران دارو,پخش سراسری تجهیزگران طب نوین,ایران,واساران   قرص خوراکی 160 mg,VASARAN   TABLET ORAL 160 mg,VALSARTAN TABLET ORAL 160 mg,VALSARTAN," 4,209 ", 30 ," 126,270 "," 1,279,260,000 ",5766,0,0,J05AB14,,
Tehran Darou Pharmaceutical Co.,داروسازی تهران دارو,داروسازی تهران دارو,پخش سراسری تجهیزگران طب نوین,ایران,لوزارتان-تدافارم   قرص خوراکی 25 mg,LOSARTAN-TEDAPHARM   TABLET ORAL 25 mg,LOSARTAN POTASSIUM TABLET ORAL 25 mg,LOSARTAN POTASSIUM," 4,554 ", 100 ," 455,400 "," 1,274,315,000 ",1822,0,0,J05AB14,,
Loghman Pharmaceutical & Hygienic (public),داروئی و بهداشتی لقمان (سهام عام ),داروئی و بهداشتی لقمان (سهام عام ),پخش سراسری تجهیزگران طب نوین,ایران,دیازپام   قرص خوراکی 5 mg,DIAZEPAM   TABLET ORAL 5 mg,DIAZEPAM TABLET ORAL 5 mg,DIAZEPAM," 7,538 ", 100 ," 753,800 "," 1,268,740,000 ",420,0,0,J05AB14,,
Caspian Tamin Co.,داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,پخش سراسری تجهیزگران طب نوین,ایران,ستیریزین   شربت خوراکی 1 mg/1mL 60 mL,CETIRIZINE   SYRUP ORAL 1 mg/1mL 60 mL,CETIRIZINE HYDROCHLORIDE SYRUP ORAL 1 mg/1mL 60 mL,CETIRIZINE HYDROCHLORIDE," 15,775 ", 1 ," 15,775 "," 1,267,615,000 ",2232,1,0,J05AB14,,
Sajad Daru Shargh,سجاد داروی شرق,سجاد داروی شرق,پخش سراسری تجهیزگران طب نوین,ایران,کرستوسد   قرص خوراکی 10 mg,CRESTOSAD   TABLET ORAL 10 mg,ROSUVASTATIN (AS CALCIUM) TABLET ORAL 10 mg,ROSUVASTATIN (AS CALCIUM)," 9,396 ", 30 ," 281,880 "," 1,258,782,000 ",6454,0,0,J05AB14,,
Pars Darou,پارس دارو,پارس دارو,پخش سراسری تجهیزگران طب نوین,ایران,ایمی پرامین   قرص خوراکی 10 mg,IMIPRAMINE   TABLET ORAL 10 mg,IMIPRAMINE HYDROCHLORIDE TABLET ORAL 10 mg,IMIPRAMINE HYDROCHLORIDE," 7,771 ", 100 ," 777,100 "," 1,256,890,000 ",664,0,0,J05AB14,,
Hakim Pharmaceutical Co.,دارو سازی حکیم,دارو سازی حکیم,پخش سراسری تجهیزگران طب نوین,ایران,متوکلوپرامید-حکیم   قرص خوراکی 10 mg,METOCLOPRAMIDE-HAKIM   TABLET ORAL 10 mg,METOCLOPRAMIDE HYDROCHLORIDE TABLET ORAL 10 mg,METOCLOPRAMIDE HYDROCHLORIDE," 11,555 ", 100 ," 1,155,500 "," 1,250,180,000 ",841,0,0,J05AB14,,
Donyaye Behdasht Labs.co,لابراتوار های دنیای بهداشت,لابراتوار های دنیای بهداشت,پخش سراسری تجهیزگران طب نوین,ایران,بودزوناید   اسپری از راه بینی 64 ug/1{dose} 120 mL,BUDESONIDE   SPRAY NASAL 64 ug/1{dose} 120 mL,BUDESONIDE SPRAY NASAL 64 ug/1{dose} 120 {Puff},BUDESONIDE," 9,821 ", 1 ," 9,821 "," 1,245,314,700 ",8209,0,0,J05AB14,,
Caspian Tamin Co.,داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,پخش سراسری تجهیزگران طب نوین,ایران,رزماید   تزریقی داخل وریدی 10 mg/1mL 2 mL,ROSEMID   INJECTION INTRAVENOUS 10 mg/1mL 2 mL,FUROSEMIDE INJECTION INTRAVENOUS 10 mg/1mL 2 mL,FUROSEMIDE," 4,216 ", 10 ," 42,160 "," 1,233,360,000 ",51896,0,0,J05AB14,,
Loghman Pharmaceutical & Hygienic (public),داروئی و بهداشتی لقمان (سهام عام ),داروئی و بهداشتی لقمان (سهام عام ),پخش سراسری تجهیزگران طب نوین,ایران,تادارکس   قرص خوراکی 20 mg,TADAREX   TABLET ORAL 20 mg,TADALAFIL TABLET ORAL 20 mg,TADALAFIL," 24,151 ", 4 ," 96,604 "," 1,230,620,000 ",6975,0,0,J05AB14,,
Raha Pharmaceutical Isfahan Company,داروسازی رها اصفهان,داروسازی رها اصفهان,پخش سراسری تجهیزگران طب نوین,ایران,ایبوپروفن   قرص خوراکی 400 mg,IBUPROFEN   TABLET ORAL 400 mg,IBUPROFEN TABLET ORAL 400 mg,IBUPROFEN," 1,924 ", 100 ," 192,400 "," 1,226,840,000 ",659,1,0,J05AB14,,
Razak Labratories,لابراتوارهای رازک,لابراتوارهای رازک,پخش سراسری تجهیزگران طب نوین,ایران,انالاپریل   قرص خوراکی 5 mg,ENALAPRIL   TABLET ORAL 5 mg,ENALAPRIL MALEATE TABLET ORAL 5 mg,ENALAPRIL MALEATE," 6,304 ", 100 ," 630,400 "," 1,224,148,000 ",483,0,0,J05AB14,,
Donyaye Behdasht Labs.co,لابراتوارهای شهردارو,لابراتوارهای شهردارو,پخش سراسری تجهیزگران طب نوین,ایران,فلوکستین   شربت خوراکی 4 mg/1mL 60 mL,FLUOXETINE   SYRUP ORAL 4 mg/1mL 60 mL,FLUOXETINE (AS HYDROCHLORIDE) SYRUP ORAL 4 mg/1mL 60 mL,FLUOXETINE (AS HYDROCHLORIDE)," 15,467 ", 1 ," 15,467 "," 1,221,497,850 ",2051,0,0,J05AB14,,
Fatak Chemie Pars Pharmaceutical Co.,داروسازی فاتک شیمی پارس,داروسازی فاتک شیمی پارس,پخش سراسری تجهیزگران طب نوین,ایران,فاموتیدین   قرص خوراکی 20 mg,FAMOTIDINE   TABLET ORAL 20 mg,FAMOTIDINE TABLET ORAL 20 mg,FAMOTIDINE," 15,915 ", 30 ," 477,450 "," 1,220,409,000 ",527,1,0,J05AB14,,
Shahre Daru,لابراتوارهای شهردارو,لابراتوارهای شهردارو,پخش سراسری تجهیزگران طب نوین,ایران,ریویکس   قرص خوراکی 15 mg,RIVIX   TABLET ORAL 15 mg,RIVAROXABAN TABLET ORAL 15 mg,RIVAROXABAN," 1,032 ", 30 ," 30,960 "," 1,212,162,000 ",50005,0,0,J05AB14,,
