نام شرکت تولید کننده,نام شرکت تامین کننده,نام صاحب برند,توزیع کننده,کشور تولید  کننده,نام برند,نام لاتین برند,نام ژنریک,نام ماده موثره, تعداد فروش (بسته) , تعداد در بسته , فروش عددی , فروش ریالی مصرف کننده ,کد ژنریک,OTC,بیولوژیک,ATC Code,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتولوکاست   قرص خوراکی 10 mg,ACTOLUKAST   TABLET ORAL 10 mg,MONTELUKAST TABLET ORAL 10 mg,MONTELUKAST," 2,289,845 ", 30 ," 68,695,350 "," 519,339,561,000 ",6043,0,0,R03DC03,,
Merck Serono S.p.a.,اکتوورکو,Merck Europe BV,الیت دارو,ایتالیا,ربیف   تزریقی پرنترال 12000000 [iU] 0.5 ug,REBIF   INJECTION PARENTERAL 12000000 [iU] 0.5 ug,INTERFERON BETA-1A INJECTION PARENTERAL 12000000 [iU] 0.5 mL,INTERFERON BETA-1A," 6,273 ", 12 ," 75,276 "," 505,119,445,200 ",2666,0,1,L03AB07,,
Actoverco,اکتوورکو,Merck,الیت دارو,ایران,کنکور   قرص خوراکی 5 mg,CONCOR   TABLET ORAL 5 mg,BISOPROLOL FUMARATE TABLET ORAL 5 mg,BISOPROLOL FUMARATE," 422,435 ", 30 ," 12,673,050 "," 504,387,390,000 ",7125,0,0,C07AB07,,
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,یاسنال   قرص خوراکی 10 mg,YASNAL   TABLET ORAL 10 mg,DONEPEZIL HYDROCHLORIDE TABLET ORAL 10 mg,DONEPEZIL HYDROCHLORIDE," 305,481 ", 28 ," 8,553,468 "," 461,887,272,000 ",1928,0,0,N06DA02,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوکلد   قرص خوراکی 15 mg/2 mg/5 mg/500 mg,ACTOCOLD   TABLET ORAL 15 mg/2 mg/5 mg/500 mg,ADULT COLD PREPARATIONS (7-23) TABLET ORAL 15 mg/2 mg/5 mg/500 mg,ADULT COLD PREPARATIONS (7-23)," 1,677,285 ", 30 ," 50,318,550 "," 434,995,134,000 ",51952,1,0,R05X,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,بپاکتو   محلول تزریقی پرنترال 250 mg/1mL 2 mg,"BEPACTO   INJECTION, SOLUTION PARENTERAL 250 mg/1mL 2 mg","DEXPANTHENOL INJECTION, SOLUTION PARENTERAL 250 mg/1mL 2 mL",DEXPANTHENOL," 443,099 ", 6 ," 2,658,594 "," 398,789,100,000 ",25187,0,0,A11HA30,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,بیاکتو   محلول تزریقی عضلانی 5 mg/1mL 1 mg,"BIACTO   INJECTION, SOLUTION INTRAMUSCULAR 5 mg/1mL 1 mg","BIOTIN INJECTION, SOLUTION INTRAMUSCULAR 5 mg/1mL 1 mL",BIOTIN," 439,970 ", 6 ," 2,639,820 "," 395,973,000,000 ",6536,0,0,A11HA05,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,رزورکسین   قرص خوراکی 20 mg,ROSUREXIN   TABLET ORAL 20 mg,ROSUVASTATIN (AS CALCIUM) TABLET ORAL 20 mg,ROSUVASTATIN (AS CALCIUM)," 1,569,496 ", 30 ," 47,084,880 "," 388,450,260,000 ",6788,0,0,C10AA07,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,تامسوور   کپسول پیوسته رهش خوراکی 0.4 mg,"TAMSOVER   CAPSULE, EXTENDED RELEASE ORAL 0.4 mg","TAMSULOSIN HYDROCHLORIDE CAPSULE, EXTENDED RELEASE ORAL 0.4 mg",TAMSULOSIN HYDROCHLORIDE," 1,406,218 ", 30 ," 42,186,540 "," 380,124,360,000 ",1923,0,0,G04CA02,,
Alhavi,الحاوی,الحاوی,الیت دارو,ایران,نوافن   کپسول خوراکی 325 mg/40 mg/200 mg,NOVAFEN   CAPSULE ORAL 325 mg/40 mg/200 mg,ACETAMINOPHEN / CAFFEINE / IBUPROFEN CAPSULE ORAL 325 mg/40 mg/200 mg,ACETAMINOPHEN / CAFFEINE / IBUPROFEN," 1,275,738 ", 30 ," 38,272,140 "," 369,932,370,000 ",8979,1,0,N02BE71,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,ناکسپرین   تزریقی پرنترال 100 mg/1mL 0.6 mL,NOXPRIN   INJECTION PARENTERAL 100 mg/1mL 0.6 mL,ENOXAPARIN SODIUM INJECTION PARENTERAL 100 mg/1mL 0.6 mL,ENOXAPARIN SODIUM," 36,800 ", 12 ," 441,600 "," 369,001,551,600 ",2292,0,0,B01AB05,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتاپ   کپسول (پلت های انتریک کوتد) خوراکی 20 mg,"ACTOP   CAPSULE, DELAYED RELEASE PELLETS ORAL 20 mg","OMEPRAZOLE CAPSULE, DELAYED RELEASE PELLETS ORAL 20 mg",OMEPRAZOLE," 2,933,166 ", 28 ," 82,128,648 "," 328,615,106,400 ",931,1,0,A02BC01,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,فستوور   قرص خوراکی 180 mg,FASTOVER   TABLET ORAL 180 mg,FEXOFENADINE HYDROCHLORIDE TABLET ORAL 180 mg,FEXOFENADINE HYDROCHLORIDE," 542,844 ", 30 ," 16,285,320 "," 322,449,336,000 ",6750,1,0,R06AX26,,
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,اموزل   کپسول انتریک کوتد خوراکی 40 mg,"EMOZUL   CAPSULE, DELAYED RELEASE ORAL 40 mg","ESOMEPRAZOLE CAPSULE, DELAYED RELEASE ORAL 40 mg",ESOMEPRAZOLE," 245,226 ", 28 ," 6,866,328 "," 312,557,282,800 ",13974,0,0,A02BC05,,
