,Unnamed: 0,pharma_company,brand_name_en,generic_name_en,substance_name_en,atc_code_raw,anatomical_desc,therapeutic_desc,pharmacological_desc,subpharmacological_desc,chemical_desc,preprocessed_index
25,25,actoverco,actocold   tablet oral 15 mg/2 mg/5 mg/500 mg,adult cold preparations (7-23) tablet oral 15 mg/2 mg/5 mg/500 mg,adult cold preparations (7-23),r05x,respiratory system,cough and cold preparations,other cold preparations,,,25
26,26,actoverco,"bepacto   injection, solution parenteral 250 mg/1ml 2 mg","dexpanthenol injection, solution parenteral 250 mg/1ml 2 ml",dexpanthenol,a11ha30,alimentary tract and metabolism,vitamins,other plain vitamin preparations,other plain vitamin preparations,dexpanthenol,26
27,27,actoverco,"biacto   injection, solution intramuscular 5 mg/1ml 1 mg","biotin injection, solution intramuscular 5 mg/1ml 1 ml",biotin,a11ha05,alimentary tract and metabolism,vitamins,other plain vitamin preparations,other plain vitamin preparations,biotin,27
28,28,actoverco,rosurexin   tablet oral 20 mg,rosuvastatin (as calcium) tablet oral 20 mg,rosuvastatin (as calcium),c10aa07,cardiovascular system,lipid modifying agents,"lipid modifying agents, plain",hmg coa reductase inhibitors,rosuvastatin,28
29,29,actoverco,"tamsover   capsule, extended release oral 0.4 mg","tamsulosin hydrochloride capsule, extended release oral 0.4 mg",tamsulosin hydrochloride,g04ca02,genito urinary system and sex hormones,urologicals,drugs used in benign prostatic hypertrophy,alpha-adrenoreceptor antagonists,tamsulosin,29
30,30,alhavi,novafen   capsule oral 325 mg/40 mg/200 mg,acetaminophen / caffeine / ibuprofen capsule oral 325 mg/40 mg/200 mg,acetaminophen / caffeine / ibuprofen,n02be71,nervous system,analgesics,other analgesics and antipyretics,anilides,"paracetamol, combinations with psycholeptics",30
31,31,actoverco,noxprin   injection parenteral 100 mg/1ml 0.6 ml,enoxaparin sodium injection parenteral 100 mg/1ml 0.6 ml,enoxaparin sodium,b01ab05,blood and blood forming organs,antithrombotic agents,antithrombotic agents,heparin group,enoxaparin,31
32,32,actoverco,"actop   capsule, delayed release pellets oral 20 mg","omeprazole capsule, delayed release pellets oral 20 mg",omeprazole,a02bc01,alimentary tract and metabolism,drugs for acid related disorders,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),proton pump inhibitors,omeprazole,32
33,33,actoverco,"actop   capsule, delayed release pellets oral 20 mg","omeprazole capsule, delayed release pellets oral 20 mg",omeprazole,a02bc01,alimentary tract and metabolism,drugs for acid related disorders,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),proton pump inhibitors,omeprazole,33
34,34,actoverco,fastover   tablet oral 180 mg,fexofenadine hydrochloride tablet oral 180 mg,fexofenadine hydrochloride,r06ax26,respiratory system,antihistamines for systemic use,antihistamines for systemic use,other antihistamines for systemic use,fexofenadine,34
35,35,actoverco,"emozul   capsule, delayed release oral 40 mg","esomeprazole capsule, delayed release oral 40 mg",esomeprazole,a02bc05,alimentary tract and metabolism,drugs for acid related disorders,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),proton pump inhibitors,esomeprazole,35
36,36,actoverco,"emozul   capsule, delayed release oral 40 mg","esomeprazole capsule, delayed release oral 40 mg",esomeprazole,a02bc05,alimentary tract and metabolism,drugs for acid related disorders,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),proton pump inhibitors,esomeprazole,36
37,37,actoverco,"metazero   tablet, extended release oral 47.5 mg","metoprolol succinate tablet, extended release oral 47.5 mg",metoprolol succinate,c07ab02,cardiovascular system,beta blocking agents,beta blocking agents,"beta blocking agents, selective",metoprolol,37
38,38,actoverco,"metazero   tablet, extended release oral 47.5 mg","metoprolol succinate tablet, extended release oral 47.5 mg",metoprolol succinate,c07ab02,cardiovascular system,beta blocking agents,beta blocking agents,"beta blocking agents, selective",metoprolol,38
39,39,ati pharmed pharmaceutical company,dofamed   tablet oral 10 mg,dydrogesterone tablet oral 10 mg,dydrogesterone,g03db01,genito urinary system and sex hormones,sex hormones and modulators of the genital system,progestogens,pregnadien derivatives,dydrogesterone,39
40,40,actoverco,yasnal   tablet oral 5 mg,donepezil hydrochloride tablet oral 5 mg,donepezil hydrochloride,n06da02,nervous system,psychoanaleptics,anti-dementia drugs,anticholinesterases,donepezil,40
41,41,actoverco,glucophage   tablet oral 1000 mg,metformin hydrochloride tablet oral 1000 mg,metformin hydrochloride,a10ba02,alimentary tract and metabolism,drugs used in diabetes,"blood glucose lowering drugs, excl. insulins",biguanides,metformin,41
42,42,actoverco,"alventa   capsule, extended release oral 75 mg","venlafaxine capsule, extended release oral 75 mg",venlafaxine,n06ax16,nervous system,psychoanaleptics,antidepressants,other antidepressants,venlafaxine,42
43,43,actoverco,letizen   tablet oral 10 mg,cetirizine hydrochloride tablet oral 10 mg,cetirizine hydrochloride,r06ae07,respiratory system,antihistamines for systemic use,antihistamines for systemic use,piperazine derivatives,cetirizine,43
