,Unnamed: 0,pharma_company,brand_name_en,generic_name_en,substance_name_en,atc_code_raw,anatomical_desc,therapeutic_desc,pharmacological_desc,subpharmacological_desc,chemical_desc,preprocessed_index
5072,5072,avicenna laboratories inc.,"avipanto   tablet, delayed release oral 20 mg","pantoprazole tablet, delayed release oral 20 mg",pantoprazole,a02bc02,alimentary tract and metabolism,drugs for acid related disorders,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),proton pump inhibitors,pantoprazole,5072
5073,5073,darou pakhsh,"poly ethylenglycol - electrolyte 2   powder, for solution oral 70 g","polyethylene glycol - electrolyte 2 powder, for solution oral 17.6 mmol/1.46 g/1.68 g/0.745 g/5.68 g 70 g",polyethylene glycol - electrolyte 2,a06aa01,alimentary tract and metabolism,drugs for constipation,drugs for constipation,"softeners, emollients",liquid paraffin,5073
5074,5074,baxter pharmaceuticals india private limited(ex claris injectables limited),"provive   injection, emulsion parenteral 10 mg/1ml 50 ml","propofol injection, emulsion parenteral 10 mg/1ml 50 ml",propofol,n01ax10,nervous system,anesthetics,"anesthetics, general",other general anesthetics,propofol,5074
5075,5075,amin pharmaceutical co.,bisoprolol   tablet oral 2.5 mg,bisoprolol fumarate tablet oral 2.5 mg,bisoprolol fumarate,c07ab07,cardiovascular system,beta blocking agents,beta blocking agents,"beta blocking agents, selective",bisoprolol,5075
5076,5076,pharmed medical industries,renabag s   powder not applicable 650 g  g,bicarbonate concentrate powder not applicable 650 g,bicarbonate concentrate,b05za,blood and blood forming organs,blood substitutes and perfusion solutions,hemodialytics and hemofiltrates,"hemodialytics, concentrates",,5076
5077,5077,tehran chemie pharmaceutical co.,normazine   tablet oral 100 mg,chlorpromazine hydrochloride tablet oral 100 mg,chlorpromazine hydrochloride,n05aa01,nervous system,psycholeptics,antipsychotics,phenothiazines with aliphatic side-chain,chlorpromazine,5077
5078,5078,tehran chemie pharmaceutical co.,normazine   tablet oral 100 mg,chlorpromazine hydrochloride tablet oral 100 mg,chlorpromazine hydrochloride,n05aa01,nervous system,psycholeptics,antipsychotics,phenothiazines with aliphatic side-chain,chlorpromazine,5078
5079,5079,tehran chemie pharmaceutical co.,normazine   tablet oral 100 mg,chlorpromazine hydrochloride tablet oral 100 mg,chlorpromazine hydrochloride,n05aa01,nervous system,psycholeptics,antipsychotics,phenothiazines with aliphatic side-chain,chlorpromazine,5079
5080,5080,sobhandarou,crotamiton   cream topical 10 % 30 g,crotamiton cream topical 10 % 30 g,crotamiton,p03ax,"antiparasitic products, insecticides and repellents","ectoparasiticides, incl. scabicides, insecticides and repellents","ectoparasiticides, incl. scabicides","other ectoparasiticides, incl. scabicides",,5080
5081,5081,novo nordisk,"novomix   injection, suspension parenteral 100 [iu]/1ml 3 ml","insulin aspart injection, suspension parenteral 100 [iu]/1ml 3 ml",insulin aspart,a10ab05,alimentary tract and metabolism,drugs used in diabetes,insulins and analogues,"insulins and analogues for injection, fast-acting",insulin aspart,5081
5082,5082,exir pharmaceutical company,"levofloxacin   injection, solution, concentrate parenteral 25 mg/1ml 20 ml","levofloxacin injection, solution, concentrate parenteral 25 mg/1ml 20 ml",levofloxacin,j01ma12,antiinfectives for systemic use,antibacterials for systemic use,quinolone antibacterials,fluoroquinolones,levofloxacin,5082
5083,5083,exir pharmaceutical company,"levofloxacin   injection, solution, concentrate parenteral 25 mg/1ml 20 ml","levofloxacin injection, solution, concentrate parenteral 25 mg/1ml 20 ml",levofloxacin,j01ma12,antiinfectives for systemic use,antibacterials for systemic use,quinolone antibacterials,fluoroquinolones,levofloxacin,5083
5084,5084,exir pharmaceutical company,"levofloxacin   injection, solution, concentrate parenteral 25 mg/1ml 20 ml","levofloxacin injection, solution, concentrate parenteral 25 mg/1ml 20 ml",levofloxacin,j01ma12,antiinfectives for systemic use,antibacterials for systemic use,quinolone antibacterials,fluoroquinolones,levofloxacin,5084
5085,5085,deva ilac sanayi ve tic. a.s. kartepe subesi kosekoy api uretim tesisi,madopar   tablet oral 100 mg/25 mg,levodopa / benserazide tablet oral 100 mg/25 mg,levodopa / benserazide,n04ba02,nervous system,anti-parkinson drugs,dopaminergic agents,dopa and dopa derivatives,levodopa and decarboxylase inhibitor,5085
5086,5086,alhavi,"peptilock   tablet, chewable oral 10 mg/800 mg/165 mg","famotidine / calcium carbonate / magnesium hydroxide tablet, chewable oral 10 mg/800 mg/165 mg",famotidine / calcium carbonate / magnesium hydroxide,a02ba53,alimentary tract and metabolism,drugs for acid related disorders,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),h2-receptor antagonists,"famotidine, combinations",5086
5087,5087,arnikahealth pharmaceutical co,metronidazole   suppository vaginal 500 mg,metronidazole suppository vaginal 500 mg,metronidazole,g01af01,genito urinary system and sex hormones,gynecological antiinfectives and antiseptics,"antiinfectives and antiseptics, excl. combinations with corticosteroids",imidazole derivatives,metronidazole,5087
5088,5088,afachemi,"cefotaxime   injection, powder, for solution parenteral 1 g  g","cefotaxime injection, powder, for solution parenteral 1 g",cefotaxime,j01dd01,antiinfectives for systemic use,antibacterials for systemic use,other beta-lactam antibacterials,third-generation cephalosporins,cefotaxime,5088
5089,5089,toliddaru pharma. co.,meloxicam   tablet oral 7.5 mg,meloxicam tablet oral 7.5 mg,meloxicam,m01ac06,musculo-skeletal system,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids",oxicams,meloxicam,5089
5090,5090,toliddaru pharma. co.,meloxicam   tablet oral 7.5 mg,meloxicam tablet oral 7.5 mg,meloxicam,m01ac06,musculo-skeletal system,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids",oxicams,meloxicam,5090
5091,5091,toliddaru pharma. co.,meloxicam   tablet oral 7.5 mg,meloxicam tablet oral 7.5 mg,meloxicam,m01ac06,musculo-skeletal system,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids",oxicams,meloxicam,5091
5092,5092,darou pakhsh,"barex   powder, for suspension oral 135 g  g","barium sulfate powder, for suspension oral 135 g",barium sulfate,v08ba02,various,contrast media,"x-ray contrast media, non-iodinated",barium sulfate containing x-ray contrast media,barium sulfate without suspending agents,5092
5093,5093,tehran darou pharmaceutical co.,bisoprolol   tablet oral 2.5 mg,bisoprolol fumarate tablet oral 2.5 mg,bisoprolol fumarate,c07ab07,cardiovascular system,beta blocking agents,beta blocking agents,"beta blocking agents, selective",bisoprolol,5093
5094,5094,tehran chemie pharmaceutical co.,janumix   tablet oral 50 mg/500 mg,sitagliptin (as phosphate) / metformin hydrochloride tablet oral 50 mg/500 mg,sitagliptin (as phosphate) / metformin hydrochloride,a10bd07,alimentary tract and metabolism,drugs used in diabetes,"blood glucose lowering drugs, excl. insulins",combinations of oral blood glucose lowering drugs,metformin and sitagliptin,5094
5095,5095,aburaihan pharmaceutical co,ovocease   tablet oral 1.5 mg,levonorgestrel tablet oral 1.5 mg,levonorgestrel,g03ac03,genito urinary system and sex hormones,sex hormones and modulators of the genital system,hormonal contraceptives for systemic use,progestogens,levonorgestrel,5095
5096,5096,shafa pharmaceutical & hygienic mfg.co.,clopidogrel-shafa   tablet oral 75 mg,clopidogrel (as bisulfate) tablet oral 75 mg,clopidogrel (as bisulfate),b01ac04,blood and blood forming organs,antithrombotic agents,antithrombotic agents,platelet aggregation inhibitors excl. heparin,clopidogrel,5096
5097,5097,s.a.l.f. s.p.a. pharmacological laboratory,patent blue v   injection parenteral 25 mg/1ml 2 ml,patent blue v injection parenteral 25 mg/1ml 2 ml,patent blue v,,nervous system,,,,,5097
5098,5098,samen pharmaceutical co,"sodium chloride   injection, solution parenteral 0.45 % 500 l","sodium chloride injection, solution parenteral 0.45 % 500 ml",sodium chloride,b05xa03,blood and blood forming organs,blood substitutes and perfusion solutions,i.v. solution additives,electrolyte solutions,sodium chloride,5098
5099,5099,toliddaru pharma. co.,ibuprofen   suspension oral 100 mg/5ml 120 ml,ibuprofen suspension oral 100 mg/5ml 120 ml,ibuprofen,m01ae01,musculo-skeletal system,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids",propionic acid derivatives,ibuprofen,5099
5100,5100,toliddaru pharma. co.,ibuprofen   suspension oral 100 mg/5ml 120 ml,ibuprofen suspension oral 100 mg/5ml 120 ml,ibuprofen,m01ae01,musculo-skeletal system,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids",propionic acid derivatives,ibuprofen,5100
5101,5101,toliddaru pharma. co.,ibuprofen   suspension oral 100 mg/5ml 120 ml,ibuprofen suspension oral 100 mg/5ml 120 ml,ibuprofen,m01ae01,musculo-skeletal system,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids",propionic acid derivatives,ibuprofen,5101
5102,5102,raha pharmaceutical isfahan company,ibuprofen   gel topical 5 % 50 g,ibuprofen gel topical 5 % 50 g,ibuprofen,m02aa13,musculo-skeletal system,topical products for joint and muscular pain,topical products for joint and muscular pain,"antiinflammatory preparations, non-steroids for topical use",ibuprofen,5102
5103,5103,pharmachemie,sildenafil pharma   tablet oral 50 mg,sildenafil (as citrate) tablet oral 50 mg,sildenafil (as citrate),g04be03,genito urinary system and sex hormones,urologicals,urologicals,drugs used in erectile dysfunction,sildenafil,5103
5104,5104,sobhan oncology,sunitiban   capsule oral 50 mg,sunitinib capsule oral 50 mg,sunitinib,l01xe04,antineoplastic and immunomodulating agents,antineoplastic agents,other antineoplastic agents,,,5104
5105,5105,emad darman pars,vitamin a+d-emad   ointment topical 850 [iu]/85 [iu]/1g 30 g,vitamin a / vitamin d ointment topical 850 [iu]/85 [iu]/1g 30 g,vitamin a / vitamin d,a11cb,alimentary tract and metabolism,vitamins,"vitamin a and d, incl. combinations of the two",vitamin a and d in combination,,5105
5106,5106,tehran chemie pharmaceutical co.,daticin   capsule oral 300 mg,clindamycin (as hydrochloride) capsule oral 300 mg,clindamycin (as hydrochloride),j01ff01,antiinfectives for systemic use,antibacterials for systemic use,"macrolides, lincosamides and streptogramins",lincosamides,clindamycin,5106
5107,5107,tehran chemie pharmaceutical co.,daticin   capsule oral 300 mg,clindamycin (as hydrochloride) capsule oral 300 mg,clindamycin (as hydrochloride),j01ff01,antiinfectives for systemic use,antibacterials for systemic use,"macrolides, lincosamides and streptogramins",lincosamides,clindamycin,5107
5108,5108,cipla,"seroflo   aerosol, metered respiratory 25 ug/125 ug/1{dose} 120 {dose}","salmeterol (as xinafoate) / fluticasone propionate aerosol, metered respiratory 25 ug/125 ug/1{dose} 120 {dose}",salmeterol (as xinafoate) / fluticasone propionate,r03ak06,respiratory system,drugs for obstructive airway diseases,"adrenergics, inhalants","adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",salmeterol and fluticasone,5108
5109,5109,tehran darou pharmaceutical co.,letanex   tablet oral 500 mg,levofloxacin tablet oral 500 mg,levofloxacin,j01ma12,antiinfectives for systemic use,antibacterials for systemic use,quinolone antibacterials,fluoroquinolones,levofloxacin,5109
5110,5110,tehran darou pharmaceutical co.,letanex   tablet oral 500 mg,levofloxacin tablet oral 500 mg,levofloxacin,j01ma12,antiinfectives for systemic use,antibacterials for systemic use,quinolone antibacterials,fluoroquinolones,levofloxacin,5110
5111,5111,tehran darou pharmaceutical co.,letanex   tablet oral 500 mg,levofloxacin tablet oral 500 mg,levofloxacin,j01ma12,antiinfectives for systemic use,antibacterials for systemic use,quinolone antibacterials,fluoroquinolones,levofloxacin,5111
5112,5112,toliddaru pharma. co.,tolidine   gel vaginal 10 % 80 g,povidone iodine gel vaginal 10 % 80 g,povidone iodine,g01ax11,genito urinary system and sex hormones,gynecological antiinfectives and antiseptics,"antiinfectives and antiseptics, excl. combinations with corticosteroids",other antiinfectives and antiseptics,povidone-iodine,5112
5113,5113,cabot norit,"norit carbomix   powder, for suspension oral 50 g  g","charcoal activated powder, for suspension oral 50 g",charcoal activated,,nervous system,,,,,5113
5114,5114,exir pharmaceutical company,amikacin-exir   injection parenteral 50 mg/1ml 2 mg,amikacin (as sulfate) injection parenteral 50 mg/1ml 2 ml,amikacin (as sulfate),j01gb06,antiinfectives for systemic use,antibacterials for systemic use,aminoglycoside antibacterials,other aminoglycosides,amikacin,5114
5115,5115,avicenna laboratories inc.,aciclovir   tablet oral 400 mg,aciclovir tablet oral 400 mg,aciclovir,j05ab01,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,aciclovir,5115
5116,5116,avicenna laboratories inc.,aciclovir   tablet oral 400 mg,aciclovir tablet oral 400 mg,aciclovir,j05ab01,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,aciclovir,5116
5117,5117,daana pharma,zaxime   tablet oral 200 mg,cefixime tablet oral 200 mg,cefixime,j01dd08,antiinfectives for systemic use,antibacterials for systemic use,other beta-lactam antibacterials,third-generation cephalosporins,cefixime,5117
5118,5118,toliddaru pharma. co.,acetaminophen   suppository rectal 325 mg,acetaminophen suppository rectal 325 mg,acetaminophen,n02be01,nervous system,analgesics,other analgesics and antipyretics,anilides,paracetamol,5118
5119,5119,toliddaru pharma. co.,acetaminophen   suppository rectal 325 mg,acetaminophen suppository rectal 325 mg,acetaminophen,n02be01,nervous system,analgesics,other analgesics and antipyretics,anilides,paracetamol,5119
5120,5120,toliddaru pharma. co.,acetaminophen   suppository rectal 325 mg,acetaminophen suppository rectal 325 mg,acetaminophen,n02be01,nervous system,analgesics,other analgesics and antipyretics,anilides,paracetamol,5120
5121,5121,exir pharmaceutical company,"ceftazidime-exir   injection, powder, for solution parenteral 500 mg  mg","ceftazidime injection, powder, for solution parenteral 500 mg",ceftazidime,j01dd02,antiinfectives for systemic use,antibacterials for systemic use,other beta-lactam antibacterials,third-generation cephalosporins,ceftazidime,5121
5122,5122,aburaihan pharmaceutical co,fluocinolone   ointment topical 0.025 % 15 g,fluocinolone acetonide ointment topical 0.025 % 15 g,fluocinolone acetonide,d07ac04,dermatologicals,"corticosteroids, dermatological preparations","corticosteroids, plain","corticosteroids, potent (group iii)",fluocinolone acetonide,5122
5123,5123,rayhaneh pharmaceutical co.,pregabalin   capsule oral 50 mg,pregabalin capsule oral 50 mg,pregabalin,n03ax16,nervous system,antiepileptics,antiepileptics,other antiepileptics,pregabalin,5123
5124,5124,darou pakhsh,cypractin   tablet oral 4 mg,cyproheptadine hydrochloride tablet oral 4 mg,cyproheptadine hydrochloride,r06ax02,respiratory system,antihistamines for systemic use,antihistamines for systemic use,other antihistamines for systemic use,cyproheptadine,5124
5125,5125,alborzdarou,alpex   injection parenteral 20 mg/1ml  ml,piroxicam injection parenteral 20 mg/1ml,piroxicam,m01ac01,musculo-skeletal system,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids",oxicams,piroxicam,5125
5126,5126,alborzdarou,alpex   injection parenteral 20 mg/1ml  ml,piroxicam injection parenteral 20 mg/1ml,piroxicam,m01ac01,musculo-skeletal system,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids",oxicams,piroxicam,5126
5127,5127,alborzdarou,alpex   injection parenteral 20 mg/1ml  ml,piroxicam injection parenteral 20 mg/1ml,piroxicam,m01ac01,musculo-skeletal system,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids",oxicams,piroxicam,5127
5128,5128,soha pharmaceutical co.,sitaforbet   tablet oral 50 mg/500 mg,sitagliptin (as phosphate) / metformin hydrochloride tablet oral 50 mg/500 mg,sitagliptin (as phosphate) / metformin hydrochloride,a10bd07,alimentary tract and metabolism,drugs used in diabetes,"blood glucose lowering drugs, excl. insulins",combinations of oral blood glucose lowering drugs,metformin and sitagliptin,5128
5129,5129,tehran darou pharmaceutical co.,meverin   tablet oral 135 mg,mebeverine hydrochloride tablet oral 135 mg,mebeverine hydrochloride,a03aa04,alimentary tract and metabolism,drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,"synthetic anticholinergics, esters with tertiary amino group",mebeverine,5129
5130,5130,pars darou,rosuxon   tablet oral 20 mg,rosuvastatin (as calcium) tablet oral 20 mg,rosuvastatin (as calcium),c10aa07,cardiovascular system,lipid modifying agents,"lipid modifying agents, plain",hmg coa reductase inhibitors,rosuvastatin,5130
5131,5131,toliddaru pharma. co.,ciproquinol   tablet oral 500 mg,ciprofloxacin tablet oral 500 mg,ciprofloxacin,j01ma02,antiinfectives for systemic use,antibacterials for systemic use,quinolone antibacterials,fluoroquinolones,ciprofloxacin,5131
5132,5132,toliddaru pharma. co.,ciproquinol   tablet oral 500 mg,ciprofloxacin tablet oral 500 mg,ciprofloxacin,j01ma02,antiinfectives for systemic use,antibacterials for systemic use,quinolone antibacterials,fluoroquinolones,ciprofloxacin,5132
5133,5133,tehran chemie pharmaceutical co.,"glizitex   tablet, extended release oral 30 mg","gliclazide tablet, extended release oral 30 mg",gliclazide,a10bb09,alimentary tract and metabolism,drugs used in diabetes,"blood glucose lowering drugs, excl. insulins",sulfonylureas,gliclazide,5133
5134,5134,tehran chemie pharmaceutical co.,hisomin   tablet oral 120 mg,fexofenadine hydrochloride tablet oral 120 mg,fexofenadine hydrochloride,r06ax26,respiratory system,antihistamines for systemic use,antihistamines for systemic use,other antihistamines for systemic use,fexofenadine,5134
5135,5135,alhavi,diphen dibet-c   syrup oral 12.5 mg/125 mg/5ml 120 ml,diphenhydramine / ammonium chloride syrup oral 12.5 mg/125 mg/5ml 120 ml,diphenhydramine / ammonium chloride,r06aa52,respiratory system,antihistamines for systemic use,antihistamines for systemic use,aminoalkyl ethers,"diphenhydramine, combinations",5135
5136,5136,aburaihan pharmaceutical co,ovocept-hd   tablet oral 0.25 mg/50 ug,contraceptive hd tablet oral 0.25 mg/50 ug,contraceptive hd,g03fa04,genito urinary system and sex hormones,sex hormones and modulators of the genital system,progestogens and estrogens in combination,"progestogens and estrogens, fixed combinations",progesterone and estrogen,5136
5137,5137,tehran chemie pharmaceutical co.,clozapex   tablet oral 25 mg,clozapine tablet oral 25 mg,clozapine,n05ah02,nervous system,psycholeptics,antipsychotics,"diazepines, oxazepines, thiazepines and oxepines",clozapine,5137
5138,5138,tehran chemie pharmaceutical co.,clozapex   tablet oral 25 mg,clozapine tablet oral 25 mg,clozapine,n05ah02,nervous system,psycholeptics,antipsychotics,"diazepines, oxazepines, thiazepines and oxepines",clozapine,5138
5139,5139,raha pharmaceutical isfahan company,profum   tablet oral 10 mg,bisoprolol fumarate tablet oral 10 mg,bisoprolol fumarate,c07ab07,cardiovascular system,beta blocking agents,beta blocking agents,"beta blocking agents, selective",bisoprolol,5139
5140,5140,tehran chemie pharmaceutical co.,metromax   tablet oral 250 mg,metronidazole tablet oral 250 mg,metronidazole,p01ab01,"antiparasitic products, insecticides and repellents",antiprotozoals,agents against amoebiasis and other protozoal diseases,nitroimidazole derivatives,metronidazole,5140
5141,5141,tehran chemie pharmaceutical co.,metromax   tablet oral 250 mg,metronidazole tablet oral 250 mg,metronidazole,p01ab01,"antiparasitic products, insecticides and repellents",antiprotozoals,agents against amoebiasis and other protozoal diseases,nitroimidazole derivatives,metronidazole,5141
5142,5142,daana pharma,"proca-pen   injection, powder, for solution parenteral 800000 u  [iu]","penicillin g procaine injection, powder, for solution parenteral 800000 u",penicillin g procaine,j01ra01,antiinfectives for systemic use,antibacterials for systemic use,combinations of antibacterials,combinations of antibacterials,"penicillins, combinations with other antibacterials",5142
5143,5143,tehran chemie pharmaceutical co.,binafin   tablet oral 250 mg,terbinafine hydrochloride tablet oral 250 mg,terbinafine hydrochloride,d01ba02,dermatologicals,antifungals for dermatological use,antifungals for systemic use,antifungals for systemic use,terbinafine,5143
5144,5144,tehran chemie pharmaceutical co.,calamex   cream topical 8 % 30 g,calamine cream topical 8 % 30 g,calamine,d02ab,dermatologicals,emollients and protectives,emollients and protectives,zinc products,,5144
5145,5145,darou pakhsh,amlodipine   tablet oral 5 mg,amlodipine (as besilate) tablet oral 5 mg,amlodipine (as besilate),c08ca01,cardiovascular system,calcium channel blockers,selective calcium channel blockers with mainly vascular effects,dihydropyridine derivatives,amlodipine,5145
5146,5146,toliddaru pharma. co.,bisacodyl   suppository rectal 5 mg,bisacodyl suppository rectal 5 mg,bisacodyl,a06ab02,alimentary tract and metabolism,drugs for constipation,drugs for constipation,contact laxatives,bisacodyl,5146
5147,5147,toliddaru pharma. co.,bisacodyl   suppository rectal 5 mg,bisacodyl suppository rectal 5 mg,bisacodyl,a06ab02,alimentary tract and metabolism,drugs for constipation,drugs for constipation,contact laxatives,bisacodyl,5147
5148,5148,darou pakhsh,furosemide   injection intravenous 10 mg/1ml 2 ml,furosemide injection intravenous 10 mg/1ml 2 ml,furosemide,c03ca01,cardiovascular system,diuretics,high-ceiling diuretics,"sulfonamides, plain",furosemide,5148
5149,5149,darou pakhsh,furosemide   injection intravenous 10 mg/1ml 2 ml,furosemide injection intravenous 10 mg/1ml 2 ml,furosemide,c03ca01,cardiovascular system,diuretics,high-ceiling diuretics,"sulfonamides, plain",furosemide,5149
5150,5150,emad darman pars,elocomad   cream topical 0.1 % 30 g,mometasone furoate cream topical 0.1 % 30 g,mometasone furoate,d07ac13,dermatologicals,"corticosteroids, dermatological preparations","corticosteroids, plain","corticosteroids, potent (group iii)",mometasone,5150
5151,5151,exir pharmaceutical company,amikacin-exir   injection parenteral 250 mg/1ml 2 mg,amikacin (as sulfate) injection parenteral 250 mg/1ml 2 ml,amikacin (as sulfate),j01gb06,antiinfectives for systemic use,antibacterials for systemic use,aminoglycoside antibacterials,other aminoglycosides,amikacin,5151
5152,5152,afachemi,"vancomycin   injection, powder, for solution parenteral 500 mg  mg","vancomycin (as hydrochloride) injection, powder, for solution parenteral 500 mg",vancomycin (as hydrochloride),j01xa01,antiinfectives for systemic use,antibacterials for systemic use,other antibacterials,glycopeptide antibacterials,vancomycin,5152
5153,5153,aburaihan pharmaceutical co,indomethacin   suppository rectal 50 mg,indomethacin suppository rectal 50 mg,indomethacin,m01ab01,musculo-skeletal system,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids",acetic acid derivatives and related substances,indometacin,5153
5154,5154,aburaihan pharmaceutical co,indomethacin   suppository rectal 50 mg,indomethacin suppository rectal 50 mg,indomethacin,m01ab01,musculo-skeletal system,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids",acetic acid derivatives and related substances,indometacin,5154
5155,5155,aburaihan pharmaceutical co,indomethacin   suppository rectal 50 mg,indomethacin suppository rectal 50 mg,indomethacin,m01ab01,musculo-skeletal system,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids",acetic acid derivatives and related substances,indometacin,5155
5156,5156,tehran chemie pharmaceutical co.,januvex   tablet oral 100 mg,sitagliptin (as phosphate) tablet oral 100 mg,sitagliptin (as phosphate),a10bh01,alimentary tract and metabolism,drugs used in diabetes,"blood glucose lowering drugs, excl. insulins",dipeptidyl peptidase 4 (dpp-4) inhibitors,sitagliptin,5156
5157,5157,cipla,danogen   capsule oral 100 mg,danazol capsule oral 100 mg,danazol,g03xa01,genito urinary system and sex hormones,sex hormones and modulators of the genital system,other sex hormones and modulators of the genital system,antigonadotropins and similar agents,danazol,5157
5158,5158,pars darou,metronidazole   tablet vaginal 500 mg,metronidazole tablet vaginal 500 mg,metronidazole,g01af01,genito urinary system and sex hormones,gynecological antiinfectives and antiseptics,"antiinfectives and antiseptics, excl. combinations with corticosteroids",imidazole derivatives,metronidazole,5158
5159,5159,bayer ag(ex bayer pharma ag),"nimotop   injection, solution intravenous 0.2 mg/1ml 50 ml","nimodipine injection, solution intravenous 0.2 mg/1ml 50 ml",nimodipine,c08ca06,cardiovascular system,calcium channel blockers,selective calcium channel blockers with mainly vascular effects,dihydropyridine derivatives,nimodipine,5159
5160,5160,bayer ag(ex bayer pharma ag),"nimotop   injection, solution intravenous 0.2 mg/1ml 50 ml","nimodipine injection, solution intravenous 0.2 mg/1ml 50 ml",nimodipine,c08ca06,cardiovascular system,calcium channel blockers,selective calcium channel blockers with mainly vascular effects,dihydropyridine derivatives,nimodipine,5160
5161,5161,samisaz,epicetam   tablet oral 250 mg,levetiracetam tablet oral 250 mg,levetiracetam,n03ax14,nervous system,antiepileptics,antiepileptics,other antiepileptics,levetiracetam,5161
5162,5162,samisaz,epicetam   tablet oral 250 mg,levetiracetam tablet oral 250 mg,levetiracetam,n03ax14,nervous system,antiepileptics,antiepileptics,other antiepileptics,levetiracetam,5162
5163,5163,sobhandarou,abilizol   tablet oral 5 mg,aripiprazole tablet oral 5 mg,aripiprazole,n05ax12,nervous system,psycholeptics,antipsychotics,other antipsychotics,aripiprazole,5163
5164,5164,sobhandarou,abilizol   tablet oral 5 mg,aripiprazole tablet oral 5 mg,aripiprazole,n05ax12,nervous system,psycholeptics,antipsychotics,other antipsychotics,aripiprazole,5164
5165,5165,sobhandarou,abilizol   tablet oral 5 mg,aripiprazole tablet oral 5 mg,aripiprazole,n05ax12,nervous system,psycholeptics,antipsychotics,other antipsychotics,aripiprazole,5165
5166,5166,samisaz,renivan   tablet oral 40 mg,valsartan tablet oral 40 mg,valsartan,c09ca03,cardiovascular system,agents acting on the renin-angiotensin system,"angiotensin ii receptor blockers (arbs), plain","angiotensin ii receptor blockers (arbs), plain",valsartan,5166
5167,5167,amin pharmaceutical co.,clidinium-c   tablet oral 2.5 mg/5 mg,clidinium / chlordiazepoxide tablet oral 2.5 mg/5 mg,clidinium / chlordiazepoxide,a03ca02,alimentary tract and metabolism,drugs for functional gastrointestinal disorders,antispasmodics in combination with psycholeptics,synthetic anticholinergic agents in combination with psycholeptics,clidinium and psycholeptics,5167
5168,5168,emad darman pars,ibuprofen-emad   suspension oral 100 mg/5ml 120 ml,ibuprofen suspension oral 100 mg/5ml 120 ml,ibuprofen,m01ae01,musculo-skeletal system,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids",propionic acid derivatives,ibuprofen,5168
5169,5169,emad darman pars,ibuprofen-emad   suspension oral 100 mg/5ml 120 ml,ibuprofen suspension oral 100 mg/5ml 120 ml,ibuprofen,m01ae01,musculo-skeletal system,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids",propionic acid derivatives,ibuprofen,5169
5170,5170,emad darman pars,ibuprofen-emad   suspension oral 100 mg/5ml 120 ml,ibuprofen suspension oral 100 mg/5ml 120 ml,ibuprofen,m01ae01,musculo-skeletal system,antiinflammatory and antirheumatic products,"antiinflammatory and antirheumatic products, non-steroids",propionic acid derivatives,ibuprofen,5170
5171,5171,tehran chemie pharmaceutical co.,levicetam   tablet oral 500 mg,levetiracetam tablet oral 500 mg,levetiracetam,n03ax14,nervous system,antiepileptics,antiepileptics,other antiepileptics,levetiracetam,5171
5172,5172,tehran chemie pharmaceutical co.,levicetam   tablet oral 500 mg,levetiracetam tablet oral 500 mg,levetiracetam,n03ax14,nervous system,antiepileptics,antiepileptics,other antiepileptics,levetiracetam,5172
5173,5173,exir pharmaceutical company,"ceftizoxime-exir   injection, powder, for solution parenteral 500 mg  mg","ceftizoxime injection, powder, for solution parenteral 500 mg",ceftizoxime,j01dd07,antiinfectives for systemic use,antibacterials for systemic use,other beta-lactam antibacterials,third-generation cephalosporins,ceftizoxime,5173
5174,5174,tehran chemie pharmaceutical co.,bisofar   tablet oral 2.5 mg,bisoprolol fumarate tablet oral 2.5 mg,bisoprolol fumarate,c07ab07,cardiovascular system,beta blocking agents,beta blocking agents,"beta blocking agents, selective",bisoprolol,5174
5175,5175,darou pakhsh,"ringers   injection, solution intravenous 500 ml","ringers injection, solution intravenous 147 meq/4.5 meq/4 meq/156 meq/1l 500 ml",ringers,b05,blood and blood forming organs,blood substitutes and perfusion solutions,,,,5175
