,Unnamed: 0,supplier,brand_owner,distributor,manufacturer_country,brand_name_fa,preprocessed_index
50,50,اکتوورکو,اکتوورکو,الیت دارو,ایران,ریتوکسی ور   تزریقی پرنترال 10 mg/1ml 50 ml,50
51,51,اکتوورکو,اکتوورکو,الیت دارو,ایران,اس سیتاور   قرص خوراکی 10 mg,51
52,52,اکتوورکو,اکتوورکو,الیت دارو,ایران,رزورکسین   قرص خوراکی 10 mg,52
53,53,اکتوورکو,merck serono s.p.a.,الیت دارو,ایتالیا,گونال-اف   پودر برای تهیه محلول تزریقی پرنترال 75 [iu]  [iu],53
54,54,اکتوورکو,اکتوورکو,الیت دارو,ایران,سوستاک   قرص پیوسته رهش خوراکی 6.4 mg,54
55,55,اکتوورکو,اکتوورکو,الیت دارو,ایران,سوستاک   قرص پیوسته رهش خوراکی 6.4 mg,55
56,56,اکتوورکو,اکتوورکو,الیت دارو,ایران,سوستاک   قرص پیوسته رهش خوراکی 6.4 mg,56
57,57,اکتوورکو,اکتوورکو,الیت دارو,ایران,سوستاک   قرص پیوسته رهش خوراکی 6.4 mg,57
58,58,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,فرومیلید   قرص خوراکی 500 mg,58
59,59,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,فرومیلید   قرص خوراکی 500 mg,59
60,60,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,کپسیتابین اکتِ   قرص خوراکی 500 mg,60
61,61,اکتوورکو,اکتوورکو,الیت دارو,ایران,مب اکتو   کپسول پیوسته رهش خوراکی 200 mg,61
62,62,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتووکس   پودر برای تهیه محلول تزریقی پرنترال 6000000 [iu]  ug,62
63,63,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,آلوینتا   کپسول پیوسته رهش خوراکی 37.5 mg,63
64,64,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,نئونیب   کپسول خوراکی 200 mg,64
65,65,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوور والوسپ   قرص خوراکی 5 mg/80 mg,65
66,66,اکتوورکو,اکتوورکو,الیت دارو,ایران,کوئنتیاکس   قرص خوراکی 100 mg,66
67,67,اکتوورکو,اکتوورکو,الیت دارو,ایران,زولیور   قرص خوراکی 10 mg,67
68,68,اکتوورکو,merck serono,الیت دارو,آلمان,کنکور   قرص خوراکی 10 mg,68
69,69,اکتوورکو,اکتوورکو,الیت دارو,ایران,مزالوور   کپسول پیوسته رهش خوراکی 500 mg,69
70,70,اکتوورکو,اکتوورکو,الیت دارو,ایران,مزالوور   کپسول پیوسته رهش خوراکی 500 mg,70
71,71,اکتوورکو,merck serono,الیت دارو,آلمان,کنکور   قرص خوراکی 5 mg,71
72,72,اکتوورکو,اکتوورکو,الیت دارو,ایران,رزورکسین   قرص خوراکی 40 mg,72
73,73,اکتوورکو,اکتوورکو,الیت دارو,ایران,کلاتوور   قرص خوراکی 10 mg,73
74,74,دارو سازی آتی فارمد,دارو سازی آتی فارمد,الیت دارو,ایران,فینوسکار   قرص خوراکی 5 mg,74
75,75,اکتوورکو,merck serono s.p.a.,الیت دارو,ایتالیا,گونال-اف   تزریقی پرنترال 600 [iu]/1ml 1.5 [iu],75
76,76,اکتوورکو,merck europe bv,الیت دارو,سوئیس,پرگووریس   پودر برای تهیه محلول تزریقی پرنترال 150 [iu]/75 [iu]  ug,76
77,77,دارو سازی آتی فارمد,دارو سازی آتی فارمد,الیت دارو,ایران,تَنسی   قرص خوراکی 1.5 mg,77
78,78,اکتوورکو,اکتوورکو,الیت دارو,ایران,کلاتوور   قرص خوراکی 20 mg,78
